#,P,V,T,n
1,0.5,0.41,50,0.05
2,0.5,0.66,80,0.05
3,0.5,0.9,110,0.05
4,0.5,1.15,140,0.05
5,0.5,1.4,170,0.05
6,0.5,1.68,205,0.05
7,0.5,2.05,250,0.05
8,0.5,2.46,300,0.05
9,0.5,2.87,350,0.05
10,0.5,3.28,400,0.05
